start_station_name,trip_count,latitude,longitude
Laramie Ave & Kinzie St,65,41.887832,-87.755527
Laramie Ave & Madison St,19,41.880207,-87.755337
Larrabee St & Armitage Ave,6728,41.918084,-87.643749
Larrabee St & Division St,9575,41.90348607,-87.643353494
Larrabee St & Kingsbury St,21352,41.897764,-87.642884
Larrabee St & Menomonee St,5205,41.91468,-87.64331999999997
Larrabee St & North Ave,4146,41.91021,-87.6435
Larrabee St & Oak St,9239,41.900219493,-87.64298546799999
Larrabee St & Webster Ave,11928,41.921822,-87.64414000000002
Leavitt St & Addison St,1760,41.946655,-87.683359
Leavitt St & Archer Ave,761,41.82879202,-87.680604459
Leavitt St & Armitage Ave,3863,41.917805,-87.682437
Leavitt St & Belmont Ave (*),22,41.939354,-87.68328199999998
Leavitt St & Chicago Ave,562,41.895501,-87.682017
Leavitt St & Division St (*),147,41.902997,-87.683825
Leavitt St & Lawrence Ave,2520,41.968885,-87.684001
Leavitt St & North Ave,4368,41.910153,-87.68229000000002
Lincoln Ave & Addison St,2044,41.946176,-87.67330799999998
Lincoln Ave & Belle Plaine Ave,4048,41.955927,-87.679259
Lincoln Ave & Belmont Ave,7001,41.939365,-87.668385
Lincoln Ave & Diversey Pkwy,7721,41.932225,-87.658617
Lincoln Ave & Fullerton Ave,9473,41.925905,-87.64926
Lincoln Ave & Roscoe St,8199,41.94334,-87.67097
Lincoln Ave & Sunnyside Ave,2678,41.963004,-87.684781
Lincoln Ave & Waveland Ave,3467,41.948797,-87.675278
Lincoln Ave & Winona St,1408,41.974911297,-87.69250255899998
Lincolnwood Dr & Central St,68,42.064854,-87.71529699999998
Logan Blvd & Elston Ave,3977,41.929465,-87.684158
Loomis St & Archer Ave,712,41.84163254,-87.65743495299999
Loomis St & Jackson Blvd,4531,41.877945,-87.66200699999997
Loomis St & Lexington St,11610,41.872187,-87.661501
Loomis St & Taylor St (*),8186,41.868968,-87.659141
MLK Jr Dr & 29th St,10210,41.842052,-87.617
MLK Jr Dr & 47th St,406,41.809851,-87.616279
MLK Jr Dr & 56th St (*),301,41.793429456999995,-87.615853262
MLK Jr Dr & 63rd St,113,41.780080637,-87.61594285700001
MLK Jr Dr & 83rd St,137,41.743116,-87.6148
MLK Jr Dr & Pershing Rd,874,41.8246,-87.61678
Malcolm X College,524,41.877618,-87.673895
Manor Ave & Leland Ave,1008,41.965875,-87.700825
Maplewood Ave & Peterson Ave,330,41.990236029,-87.69336964
Marine Dr & Ainslie St,4333,41.9716,-87.650154
Marshfield Ave & 44th St,65,41.813996,-87.666589
Marshfield Ave & 59th St,23,41.786833,-87.66621500000002
Marshfield Ave & Cortland St,15413,41.916017,-87.668879
May St & 69th St,123,41.768938,-87.652934
May St & Cullerton St,2097,41.855136,-87.654127
May St & Taylor St,9437,41.8694821,-87.6554864
McClurg Ct & Erie St,16332,41.894503,-87.61785400000002
McClurg Ct & Illinois St,19011,41.890359,-87.617532
McCormick Place,5774,41.851375173,-87.618834649
Michigan Ave & 14th St,9025,41.86405900000001,-87.623727
Michigan Ave & 18th St,9412,41.857813,-87.62455
Michigan Ave & 71st St,1,41.765286,-87.621748
Michigan Ave & 8th St,11494,41.872773,-87.623981
Michigan Ave & Jackson Blvd,14263,41.87785,-87.62408
Michigan Ave & Lake St,22198,41.886024,-87.624117
Michigan Ave & Madison St,10464,41.882134,-87.625125
Michigan Ave & Oak St,29374,41.90096039,-87.62377664
Michigan Ave & Pearson St,10197,41.89766,-87.62351
Michigan Ave & Washington St,38029,41.88355,-87.62418000000002
Mies van der Rohe Way & Chestnut St,14231,41.898586651,-87.621915226
Mies van der Rohe Way & Chicago Ave,13639,41.89691,-87.62174300000002
Millard Ave & 26th St,352,41.844566849,-87.71591030799999
Millennium Park,32483,41.8810317,-87.62408432
Milwaukee Ave & Cuyler Ave,361,41.954468,-87.74959399999999
Milwaukee Ave & Grand Ave,13847,41.891578,-87.648384
Milwaukee Ave & Rockwell St,2829,41.920195,-87.693033
Milwaukee Ave & Wabansia Ave,8944,41.912616,-87.681391
Monticello Ave & Irving Park Rd,1210,41.954004839,-87.71912818
Montrose Harbor,12888,41.963982,-87.638181
Morgan Ave & 14th Pl,4875,41.862378,-87.651062
Morgan St & 18th St,3959,41.858086,-87.651073
Morgan St & 31st St,1645,41.8378,-87.65114
Morgan St & Lake St,17005,41.885483308000005,-87.652304856
Morgan St & Pershing Rd,61,41.823613,-87.650931
Morgan St & Polk St,14497,41.871737,-87.65103
Museum of Science and Industry,3498,41.79172821,-87.58394500899998
Noble St & Milwaukee Ave,7018,41.90068,-87.6626
Normal Ave & 72nd St,50,41.763462,-87.637297
Normal Ave & Archer Ave,1086,41.849527,-87.640591
Oakley Ave & Irving Park Rd,1895,41.954340852,-87.686079624
Oakley Ave & Touhy Ave,424,42.012342,-87.688243
Ogden Ave & Chicago Ave,8381,41.896362458,-87.654061273
Ogden Ave & Congress Pkwy,1681,41.87501,-87.67328
Ogden Ave & Race Ave,6678,41.891795,-87.658751
Ogden Ave & Roosevelt Rd,2160,41.866501483,-87.68469707
Orleans St & Chestnut St (NEXT Apts),8299,41.898203,-87.637536
Orleans St & Elm St (*),4613,41.902924,-87.637715
Orleans St & Hubbard St (*),1677,41.890028,-87.636618
Orleans St & Merchandise Mart Plaza,29082,41.888243,-87.63639
Paulina Ave & North Ave,6925,41.910337,-87.67007199999998
Paulina St & 18th St,3453,41.857901,-87.668745
Paulina St & Howard St,2071,42.019159,-87.673573
Paulina St & Montrose Ave,2608,41.961507,-87.671387
Peoria St & Jackson Blvd,13783,41.877749,-87.649633
Perry Ave & 69th St,135,41.76929309,-87.628195929
Phillips Ave & 79th St,75,41.75182,-87.565211
Phillips Ave & 83rd St,35,41.744531,-87.56506
Pine Grove Ave & Irving Park Rd,9755,41.954383,-87.648043
Pine Grove Ave & Waveland Ave,10327,41.949275,-87.646303
Prairie Ave & 43rd St,392,41.816658893,-87.61941246200001
Prairie Ave & Garfield Blvd,1374,41.794853,-87.618691
Princeton Ave & 47th St,366,41.809317709,-87.633449288
Princeton Ave & Garfield Blvd,379,41.794982,-87.633124
Pulaski Rd & Congress Pkwy,88,41.874325,-87.72570400000002
Pulaski Rd & Eddy St (Temp),443,41.946264,-87.731023
Pulaski Rd & Lake St,110,41.885409,-87.72649100000002
Racine Ave & 13th St,1250,41.865054,-87.656959
Racine Ave & 15th St,2556,41.861267,-87.656625
Racine Ave & 18th St,4049,41.858166,-87.65649499999998
Racine Ave & 35th St,672,41.830696113,-87.655975912
Racine Ave & 61st St,8,41.783189,-87.654372
Racine Ave & 65th St,23,41.775393,-87.654308
Racine Ave & Belmont Ave,7209,41.939743,-87.658865
Racine Ave & Congress Pkwy,6432,41.87464,-87.65703
Racine Ave & Fullerton Ave,7990,41.92556258,-87.65840426
Racine Ave & Garfield Blvd,51,41.794228,-87.655073
Racine Ave & Randolph St,7959,41.884069,-87.656853
Racine Ave & Washington Blvd (*),507,41.883073,-87.656952
Racine Ave & Wrightwood Ave,4956,41.928887,-87.658971
Racine Ave (May St) & Fulton St,6507,41.886926,-87.65691899999999
Rainbow Beach,168,41.757871448,-87.54938625
Ravenswood Ave & Berteau Ave,3885,41.957921,-87.673567
Ravenswood Ave & Irving Park Rd,4497,41.95469,-87.67393
Ravenswood Ave & Lawrence Ave,14037,41.96909,-87.674237
Rhodes Ave & 32nd St,1773,41.836208,-87.61353299999998
Richmond St & Diversey Ave,2199,41.931901969,-87.70119513
Ridge Blvd & Howard St,643,42.019276,-87.68451999999998
Ridge Blvd & Touhy Ave,719,42.012132277,-87.682912644
Ritchie Ct & Banks St,7611,41.906866,-87.62621700000003
Rockwell St & Eastwood Ave,1939,41.96590014,-87.693638494
Rush St & Cedar St,12169,41.902308700999995,-87.62769052799999
Rush St & Hubbard St,12030,41.890173,-87.62618499999998
Rush St & Superior St,12433,41.895764746,-87.62590803299999
Sacramento Blvd & Franklin Blvd,483,41.889727,-87.70103
Sangamon St & Washington Blvd (*),8110,41.88316500000001,-87.6511
Sawyer Ave & Irving Park Rd,931,41.953586179,-87.7093108
Sedgwick St & Huron St,11442,41.894666,-87.638437
Sedgwick St & North Ave,12770,41.911386,-87.638677
Sedgwick St & Schiller St,2861,41.907626,-87.638566
Sedgwick St & Webster Ave,12253,41.922167,-87.638888
